Format,Traqmate Trackvision,V2
Track,Portland International Raceway
Vehicle,CORRADO
Driver,DJ
Starting Date,2019/08/18
Starting Time,16:53:001
Sample Rate (samps/sec),10
Duration (secs),1952
Elapsed Time,Lat (Degrees),Lon (Degrees),Altitude (meters),Velocity (MPH),Lap
2.525,45.59541,-122.694632,6.0,17.475215,1
2.55,45.595411,-122.694634,6.0,17.437431,1
2.575,45.595411,-122.694637,6.0,17.401585,1
2.6,45.595412,-122.694639,6.0,17.358957,1
2.625,45.595413,-122.694641,6.0,17.329892,1
2.65,45.595413,-122.694644,6.0,17.286295,1
2.675,45.595414,-122.694646,6.0,17.251418,1
2.7,45.595414,-122.694648,6.0,17.22526,1
2.725,45.595415,-122.694651,6.0,17.194257,1
2.75,45.595415,-122.694653,6.0,17.163255,1
2.775,45.595416,-122.694656,6.0,17.135159,1
2.8,45.595416,-122.694658,6.0,17.105126,1
2.825,45.595417,-122.69466,6.0,17.086718,1
2.85,45.595418,-122.694663,6.0,17.063467,1
2.875,45.595418,-122.694665,6.0,17.016963,1
2.9,45.595419,-122.694667,6.0,16.972398,1
2.925,45.595419,-122.69467,6.0,16.941395,1
2.95,45.595419,-122.694672,6.0,16.901674,1
2.975,45.59542,-122.694674,6.0,16.872609,1
3.0,45.595421,-122.694678,6.0,17.683441,1
3.025,45.595421,-122.69468,6.0,17.634031,1
3.05,45.595422,-122.694683,6.0,17.600123,1
3.075,45.595422,-122.694685,6.0,17.560401,1
3.1,45.595423,-122.694687,6.0,17.497428,1
3.125,45.595423,-122.69469,6.0,17.46255,1
3.15,45.595424,-122.694692,6.0,17.411203,1
3.175,45.595424,-122.694695,6.0,17.376325,1
3.2,45.595425,-122.694697,6.0,17.349198,1
3.225,45.595425,-122.694699,6.0,17.309477,1
3.25,45.595426,-122.694702,6.0,17.269755,1
3.275,45.595426,-122.694705,6.0,17.244566,1
3.3,45.595426,-122.694707,6.0,17.21647,1
3.325,45.595427,-122.69471,6.0,17.20775,1
3.35,45.595427,-122.694712,6.0,17.196125,1
3.375,45.595428,-122.694714,6.0,17.184499,1
3.4,45.595428,-122.694717,6.0,17.186464,1
3.425,45.595428,-122.694719,6.0,17.159337,1
3.45,45.595429,-122.694722,6.0,17.130273,1
3.475,45.595429,-122.694724,6.0,17.109927,1
3.5,45.59543,-122.694727,6.0,17.542034,1
3.525,45.59543,-122.694729,6.0,17.538159,1
3.55,45.59543,-122.694732,6.0,17.551917,1
3.575,45.595431,-122.694734,6.0,17.573537,1
3.6,45.595431,-122.694737,6.0,17.581398,1
3.625,45.595431,-122.694739,6.0,17.576554,1
3.65,45.595432,-122.694742,6.0,17.545552,1
3.675,45.595432,-122.694744,6.0,17.50583,1
3.7,45.595432,-122.694747,6.0,17.476766,1
3.725,45.595433,-122.694749,6.0,17.454483,1
3.75,45.595433,-122.694752,6.0,17.4322,1
3.775,45.595433,-122.694754,6.0,17.435148,1
3.8,45.595434,-122.694757,6.0,17.437114,1
